[구조 로그] #0 L3:Normal | 거리:5.2m | 위치:(-1.4,5.0) | Room A
[구조 로그] #1 L3:Normal | 거리:6.5m | 위치:(-0.8,8.4) | Room B
[구조 로그] #2 L3:Normal | 거리:4.0m | 위치:(-9.4,2.3) | Main Hall
[구조 로그] #3 L3:Normal | 거리:1.7m | 위치:(-7.0,7.5) | Room A
[구조 로그] #4 L3:Normal | 거리:0.4m | 위치:(-8.7,7.3) | Room A
[구조 로그] #5 L2:Urgent | 거리:5.3m | 위치:(-12.3,10.6) | Room A
[구조 로그] #6 L2:Urgent | 거리:5.3m | 위치:(-13.4,9.1) | Room A
[구조 로그] #7 L3:Normal | 거리:2.2m | 위치:(3.8,2.5) | Main Hall
[구조 로그] #8 L3:Normal | 거리:6.5m | 위치:(3.5,-5.3) | Room D
[구조 로그] #9 L2:Urgent | 거리:6.8m | 위치:(13.0,-3.0) | Main Hall
[구조 로그] #10 L1:Critical | 거리:4.4m | 위치:(8.3,-7.9) | Room D
[구조 로그] #11 L1:Critical | 거리:4.4m | 위치:(4.5,-8.7) | Room D
[구조 로그] #12 L3:Normal | 거리:6.3m | 위치:(3.6,-0.4) | Main Hall
[구조 로그] #0 L3:Normal | 거리:5.2m | 위치:(2.5,-4.5) | Room D
[구조 로그] #1 L3:Normal | 거리:6.5m | 위치:(-1.0,8.5) | Room A
[구조 로그] #2 L3:Normal | 거리:4.0m | 위치:(-9.4,2.3) | Main Hall
[구조 로그] #3 L3:Normal | 거리:1.7m | 위치:(-7.0,7.5) | Room A
[구조 로그] #4 L3:Normal | 거리:0.4m | 위치:(-8.7,7.3) | Room A
[구조 로그] #5 L2:Urgent | 거리:5.3m | 위치:(-12.2,10.7) | Room A
[구조 로그] #6 L2:Urgent | 거리:5.2m | 위치:(-13.6,8.2) | Room A
[구조 로그] #7 L1:Critical | 거리:6.3m | 위치:(4.2,-9.0) | Room D
[구조 로그] #8 L1:Critical | 거리:3.4m | 위치:(10.0,-5.5) | Room D
[구조 로그] #9 L3:Normal | 거리:5.6m | 위치:(1.7,5.7) | Room B
[구조 로그] #10 L3:Normal | 거리:2.9m | 위치:(8.1,3.4) | Main Hall
[구조 로그] #11 L3:Normal | 거리:5.4m | 위치:(1.6,-1.8) | Main Hall
[구조 로그] #12 L3:Normal | 거리:2.6m | 위치:(4.3,-4.9) | Room D
[구조 로그] #13 L1:Critical | 거리:4.9m | 위치:(8.0,-8.0) | Room D
[구조 로그] #14 L3:Normal | 거리:6.1m | 위치:(1.2,-3.9) | Main Hall
[구조 로그] #15 L2:Urgent | 거리:11.2m | 위치:(9.6,-1.6) | Main Hall
[구조 로그] #16 L3:Normal | 거리:3.4m | 위치:(5.5,5.1) | Room B
[구조 로그] #17 L3:Normal | 거리:1.2m | 위치:(4.6,1.4) | Main Hall
[구조 로그] #18 L2:Urgent | 거리:6.9m | 위치:(-4.9,-2.8) | Main Hall
[구조 로그] #19 L3:Normal | 거리:5.7m | 위치:(0.1,5.3) | Room B
[구조 로그] #20 L3:Normal | 거리:6.2m | 위치:(-8.9,-0.9) | Main Hall
[구조 로그] #21 L3:Normal | 거리:4.3m | 위치:(-3.6,7.4) | Room A
[구조 로그] #22 L3:Normal | 거리:2.2m | 위치:(-9.0,4.2) | Room A
[구조 로그] #23 L2:Urgent | 거리:5.3m | 위치:(-13.8,6.2) | Room A
[구조 로그] #24 L3:Normal | 거리:3.5m | 위치:(6.3,3.5) | Main Hall
